week,part_id,part_family,is_alert,y_true,y_prob
2022-W01,P00001,Electrical,0,0,0.16560157
2022-W01,P00163,Avionics,0,0,0.16560157
2022-W01,P00164,Engine,0,0,0.16560157
2022-W01,P00165,Electrical,0,0,0.16560157
2022-W01,P00166,Engine,0,0,0.16560157
2022-W01,P00167,Avionics,0,0,0.16560157
2022-W01,P00168,Engine,0,0,0.16560157
2022-W01,P00169,Structure,0,0,0.16560157
2022-W01,P00170,Structure,0,0,0.16560157
2022-W01,P00171,Structure,0,0,0.16560157
2022-W01,P00172,Engine,0,0,0.16560157
2022-W01,P00173,Structure,0,0,0.16560157
2022-W01,P00174,Hydraulics,0,0,0.16560157
2022-W01,P00175,Cabin,0,0,0.16560157
2022-W01,P00176,Fasteners,0,0,0.16560157
2022-W01,P00177,Avionics,0,0,0.16560157
2022-W01,P00178,Fasteners,0,0,0.16560157
2022-W01,P00179,Electrical,0,1,0.16560157
2022-W01,P00005,Cabin,0,0,0.16560157
2022-W01,P00180,LandingGear,0,0,0.16560157
2022-W01,P00181,Structure,0,0,0.16560157
2022-W01,P00182,Engine,0,0,0.16560157
2022-W01,P00183,Avionics,0,0,0.16560157
2022-W01,P00184,Avionics,0,0,0.16560157
2022-W01,P00185,Hydraulics,0,0,0.16560157
2022-W01,P00186,Fasteners,0,0,0.16560157
2022-W01,P00187,Structure,0,0,0.16560157
2022-W01,P00188,Fasteners,0,0,0.16560157
2022-W01,P00162,LandingGear,0,0,0.16560157
2022-W01,P00189,Fasteners,0,0,0.16560157
2022-W01,P00161,Engine,0,0,0.16560157
2022-W01,P00159,Structure,0,0,0.16560157
2022-W01,P00133,Electrical,0,0,0.16560157
2022-W01,P00134,Hydraulics,0,0,0.16560157
2022-W01,P00135,Electrical,0,0,0.16560157
2022-W01,P00136,LandingGear,0,0,0.16560157
2022-W01,P00137,Fasteners,0,0,0.16560157
2022-W01,P00138,LandingGear,0,0,0.16560157
2022-W01,P00139,Structure,0,0,0.16560157
2022-W01,P00140,Structure,0,0,0.16560157
2022-W01,P00141,LandingGear,0,0,0.16560157
2022-W01,P00142,LandingGear,0,0,0.16560157
2022-W01,P00143,Avionics,0,0,0.16560157
2022-W01,P00144,Fasteners,0,0,0.16560157
2022-W01,P00145,Hydraulics,0,0,0.16560157
2022-W01,P00146,Electrical,0,0,0.16560157
2022-W01,P00147,Hydraulics,0,0,0.16560157
2022-W01,P00148,Fasteners,0,0,0.16560157
2022-W01,P00149,Fasteners,0,0,0.16560157
2022-W01,P00150,Fasteners,0,0,0.16560157
2022-W01,P00006,Cabin,0,0,0.16560157
2022-W01,P00151,Hydraulics,0,0,0.16560157
2022-W01,P00152,Electrical,0,0,0.16560157
2022-W01,P00153,Fasteners,0,0,0.16560157
2022-W01,P00300,Fasteners,0,0,0.16560157
2022-W01,P00154,Avionics,0,0,0.16560157
2022-W01,P00156,Cabin,0,0,0.16560157
2022-W01,P00157,LandingGear,0,0,0.16560157
2022-W01,P00158,Structure,0,0,0.16560157
2022-W01,P00160,Hydraulics,0,0,0.16560157
2022-W01,P00190,Structure,0,0,0.16560157
2022-W01,P00191,LandingGear,0,0,0.16560157
2022-W01,P00192,Structure,0,0,0.16560157
2022-W01,P00224,Fasteners,0,0,0.16560157
2022-W01,P00225,LandingGear,0,0,0.16560157
2022-W01,P00226,Hydraulics,0,0,0.16560157
2022-W01,P00227,LandingGear,0,0,0.16560157
2022-W01,P00228,Fasteners,0,0,0.16560157
2022-W01,P00229,Hydraulics,0,0,0.16560157
2022-W01,P00230,Avionics,0,0,0.16560157
2022-W01,P00231,Cabin,0,0,0.16560157
2022-W01,P00232,Engine,0,0,0.16560157
2022-W01,P00233,Cabin,0,0,0.16560157
2022-W01,P00234,Electrical,0,0,0.16560157
2022-W01,P00235,Engine,0,0,0.16560157
2022-W01,P00236,Hydraulics,0,0,0.16560157
