Threshold,Precision,Recall,F1,F0.5
0.05,0.08998212971722906,0.7449956483899043,0.1605702494841493,0.10918088824264686
0.1,0.09845233450383666,0.6588337684943429,0.17130572527721205,0.1186334430340072
0.15,0.1047648136835675,0.5970409051348999,0.17825126672729635,0.12545261694890458
0.2,0.11199154780771263,0.5535248041775457,0.18629173989455183,0.1332495285983658
0.25,0.12027972027972028,0.5239338555265448,0.1956451088722782,0.1421890500259814
0.3,0.12497240008831972,0.4926022628372498,0.19936597393448396,0.14689852063327277
0.35,0.13156590683845393,0.4621409921671018,0.2048216007714561,0.15353033019140694
0.4,0.1379215035931454,0.43429068755439515,0.2093559890916719,0.15972088854746816
0.45,0.1430329129498616,0.4046997389033943,0.21136363636363636,0.16427612520313714
0.5,0.14881157423355149,0.37597911227154046,0.21322803553800593,0.1692657315257425
0.55,0.15345765345765347,0.3437771975630983,0.21219446682782703,0.17256443861948448
0.6,0.16017699115044248,0.31505657093124456,0.21237899677324729,0.17764255569732065
0.65,0.17218543046357615,0.29416884247171454,0.21722365038560412,0.18775691589823354
0.7,0.18807060255629945,0.2689295039164491,0.22134670487106017,0.20010361352156456
0.75,0.19111111111111112,0.2245430809399478,0.2064825930372149,0.19697663765460377
0.8,0.20321361058601134,0.18711923411662315,0.19483461712732217,0.19977699312395467
0.85,0.2127107652399481,0.14273281114012185,0.17083333333333334,0.19371604063312073
0.9,0.2389937106918239,0.09921671018276762,0.14022140221402213,0.18645731108930325
0.95,0.25773195876288657,0.04351610095735422,0.07446016381236038,0.12987012987012986
