url,source,publish_date_parsed,title,cleaned_content,label,label_notes,label_status,disruption_type
https://www.supplychainbrain.com/articles/20611-a-conversation-with-a-supply-chain-millennial,supplychainbrain.com,2015-01-05,A Conversation With a Supply-Chain Millennial,"Having racked up eight years of experience in supply chain to date, Conley talks about what drew her to the industry. The wide-ranging nature of supply-chain management was a major factor, she says. Currently her role centers on project management, a job that reaches into multiple aspects of Caterpillar’s business. Having initially pursued a career in industrial engineering, Conley didn’t consider supply chain as a possibility during her early years of education. It was only after coming back to work for Caterpillar, following the obtaining of a masters in engineering, that she became aware of the opportunities in that area. “I got bit by the supply-chain bug after all,” she says. A specific degree in supply chain isn’t absolutely necessary for pursuing a career in that discipline, Conley says. Students can supplement their knowledge through a number of certification programs and outside educational courses. Conley cites adaptability as a key trait that successful supply-chain professionals must possess. “It’s not just about how you approach a problem,” she says. “It’s how you engage people. You have to be able to work across disciplines, countries and cultures.” Adaptability, of course, is an essential element of supply chains as well. “It doesn’t necessarily mean you’re changing who you are,” says Conley, “but you’re finding different ways to approach and market people. You have to be able to recognize potentials and obstacles, and find ways to maneuver around them.” To view the video in its entirety, click here",0,Q1=N: no disruption signal,ai_rule_based_v3,GENERAL_DISRUPTION
https://joc.com/article/orbcomm-expands-global-service-by-acquiring-canadas-skywave-5192733,joc.com,2015-01-06,Orbcomm expands global service by acquiring Canada’s SkyWave,"Global equipment tracking company Orbcomm extended its international reach and expanded its satellite-grounded technology base by acquiring SkyWave Mobile Communications, the largest machine-to-machine communications provider on the Inmarsat satellite network. SkyWave’s services on the privately owned Inmarsat satellite network will complement the services Orbcomm provides over its proprietary network of low-earth-orbiting satellites. Ottawa, Canada-based SkyWave brings Orbcomm more than 250,000 new subscribers, 400 channel partners and $60 million in added annual revenue, the companies said. SkyWave also brings a large engineering team to Rochelle Park, New Jersey-based Orbcomm. CEO Marc Eisenberg called the acquisition “transformative,” claiming the merger creates “the largest space-based M2M company” with global network coverage. “With our expanded scope and scale, we are well-positioned to provide the industry’s most diverse portfolio of M2M solutions and connectivity options that leverage both the Orbcomm and Inmarsat networks,” Eisenberg said in a statement. According to European research firm Berg Insight, Orbcomm is the largest global provider of container tracking services. The company provides M2M communications technology and asset-tracking services using its satellites and terrestrial cellular partners. Orbcomm helps customers track and manage nearly one million distinct assets — including ocean containers, ships, tractor-trailers, intermodal containers and railcars or heavy equipment. With SkyWave, Orbcomm gains access to additional geographic markets in Eastern Europe and Asia as well as diverse vertical markets such as security and marine. The goal isn’t simply to track containers, ships or trucks but to collect data on conditions and events from remote assets to provide clearer visibility into global supply chains. “We’re positioning ourselves to provide solutions that will span this ecosystem,” Craig Montgomery, senior vice president of marketing, said in a recent interview. As the “Internet of Things” evolves, goods will be tracked and monitored from factory floor to a consumer’s door, and more usable data communicated through M2M networks will help shippers make smarter decisions about transportation choices and manage inventory while it’s en route. “Couple chassis tracking with container tracking,” for example,” and you get much better visibility of inbound and outbound commercial movements through supply chains,” he said.",0,"Stage0: positive business news, no disruption",ai_rule_based_v3,GENERAL_DISRUPTION
https://www.supplychainbrain.com/articles/20621-usc-tracks-dorm-apartment-furniture-with-rfid-technology,supplychainbrain.com,2015-01-06,"USC Tracks Dorm, Apartment Furniture with RFID Technology","Thanks to an RFID system provided by Virginia technology company Simply RFID, however, the school now knows where its inventory is located, and has been able to dispel some myths as well, says Leo R. Boese, the special projects manager of USC's housing office. One prominent myth claimed that furniture was frequently moving and was often not where it was supposed to be. By using handheld RFID readers, employees were able to determine that furniture did not move as often as the school had thought, and that when it did move, it was still in the vicinity of its intended location. That, along with other findings, has made it easier for the school to order new furniture when necessary, as well as identify which items need repair. What's more, it can now avoid over-ordering due to furniture ending up missing. USC has approximately 40,000 undergraduate and graduate students enrolled, many of whom live in dorms, suites and apartments. All facilities are furnished with chairs, desks and beds, while the apartments also include refrigerators, and other appliances and furniture. Until recently, the housing office staff went through each room or unit once a year or semester, counting and identifying every piece of furniture, and writing down what was missing or required repair or maintenance.",0,Q1=N: no disruption signal,ai_rule_based_v3,GENERAL_DISRUPTION
https://www.supplychainbrain.com/articles/20619-shadow-it-permits-logistics-transportation-cios-to-assume-greater-leadership-roles,supplychainbrain.com,2015-01-06,"'Shadow IT' Permits Logistics, Transportation CIOs to Assume Greater Leadership Roles","That’s one of the paradoxical findings of a global study published by BT, based on a survey of almost 1,000 senior IT decision makers in eight regions and six sectors worldwide. Shadow IT is the name given to the growing practice of departments, such as finance or marketing, buying their own IT solutions. According to the study, “Art of Connecting: Creativity and the Modern CIO”, the practice is now common in the transport and logistics sector, with 76 percent of CIOs in the sector seeing it within their organisations, the same as the global average. Shadow IT now accounts for 23 percent of transport and logistics’ IT spend, compared with an international average of 25 percent. The growing confidence of departments in buying their own IT solutions is shifting the CIO’s focus away from hands-on support to a more strategic role centered on advice, governance and security. Indeed, CIOs in transport and logistics are now spending 19 percent more time and substantial additional budget on security as a result of shadow IT, versus a global average of 20 percent.",0,Q1=N: no disruption signal,ai_rule_based_v3,GENERAL_DISRUPTION
https://www.supplychainbrain.com/articles/20613-cma-cgm-boosting-service-between-indian-subcontinent-mideast,supplychainbrain.com,2015-01-06,"CMA CGM Boosting Service Between Indian Subcontinent, Mideast","Beginning in December 2014, the line began upgrading its Noura Express and Swahili Express services. The repartitioning of calls will optimize the carrier’s rotations, providing direct weekly services to India and Zanzibar within 21 days, as well as weekly calls to Somalia. In addition, the line is providing four-days improved transit times from the United Arab Emirates, and five-days improved times to Zanzibar. In addition, CMA CGM will be offering a weekly service between Mombasa, Kenya and Mogadishu, Somalia. The new Noura Express service will operate four vessels of 2,200 twenty-foot equivalent units, while the Swahili Express will deploy six vessels of 2,800 TEUs. African landlocked countries will be connected to the Indian subcontinent and Middle East.",0,"Stage0: positive business news, no disruption",ai_rule_based_v3,GENERAL_DISRUPTION
https://www.supplychainbrain.com/articles/20625-your-next-perfect-employee-or-job-is-waiting-28,supplychainbrain.com,2015-01-07,Your Next Perfect Employee or Job Is Waiting,"> Bringing Qualified Candidates to Employers > Providing access to the most plentiful selection of jobs in the industry for Job Seekers. Visit our Job Board and take advantage of your unique SupplyChainBrain connection! JOB SEEKERS: Your Perfect Job Is Waiting… International Supply Chain Manager Weehawken, NJ http://bit.ly/1vSxfCF Global Procurement of I.T. Services - Digital Buyer Somerville Area, NJ http://bit.ly/1wLxbUJ HR Manager - Distribution Operations Robbinsville, NJ http://bit.ly/1vSwo56 Manager, Branch Operations I - Power Solutions Anchorage, AK http://bit.ly/1K7JAg7 Regional HR Manager Lake Forest, IL http://bit.ly/1xBMFS6 SupplyChainBrain.com members receive a 10 percent discount on the first purchase of job posting packages. To get started, call 1.877.562.7678. Mention code JIL4SCB.",0,Q1=N: no disruption signal,ai_rule_based_v3,GENERAL_DISRUPTION
https://www.supplychainbrain.com/articles/20624-panama-canal-expansion-expected-to-provide-great-market-opportunities-for-mid-sized-companies,supplychainbrain.com,2015-01-07,Panama Canal Expansion Expected to Provide Great Market Opportunities for Mid-Sized Companies,"Obvious economic winners will be multinational corporations that will be able to quickly and more easily move vast amounts of raw materials and finished products across markets, as well as the companies and enterprises directly tied to transport, from state port authorities to warehouse operators and distribution centers. In fact, some estimates say the new trade routes will put shipping companies in reach of nearly two-thirds of the nation’s population, opening significant opportunities for another important sector: Middle-market companies in the United States. The shifting path for global trade opens up chances for expanded international trade and for greater market share in the United States, as ports along the East Coast and the Gulf of Mexico take on greater importance for commerce. But to capitalize on the changes, mid-sized companies should take steps now to evolve their businesses and set new strategies.",0,"Stage0: positive business news, no disruption",ai_rule_based_v3,PORT_CONGESTION
https://www.supplychainbrain.com/articles/20634-almost-60-percent-of-industrial-manufacturers-use-some-robotics-technology-report-says,supplychainbrain.com,2015-01-08,"Almost 60 Percent of Industrial Manufacturers Use Some Robotics Technology, Report Says","The “workers” are industrial robots, which have become smarter, faster, more affordable, and offer advanced capabilities such as sensing, dexterity, memory and trainability. The report, titled, “The new hire: How a new generation of robots is transforming manufacturing,” is based on a survey of 120 industrial manufacturers and finds that 59 percent of companies are currently using some form of robotics technology. Barriers to adoption still exist however, due to limitations such as cost, the lack of perceived need, and access to expertise and skills. Manufacturers have been generally slow to adapt to the workforce change, especially if their current practices continue to generate a positive bottom line. “The business will dictate how and when they adopt the technology,” said Bobby Bono, PwC manufacturing leader. “If the competition is making the products cheaper and faster, or if different leadership comes in, (manufacturers) will be open to change.”",0,"Stage0: positive business news, no disruption",ai_rule_based_v3,GENERAL_DISRUPTION
https://www.supplychainbrain.com/articles/20632-container-shipping-industry-overall-is-expected-to-see-profitability-in-2015,supplychainbrain.com,2015-01-08,Container Shipping Industry Overall Is Expected to See Profitability in 2015,"The global fleet is expected to grow 7.2 percent in 2015, a faster pace than demand which is forecast to expand at a more modest 5.3 percent. However, despite these headwinds, Drewry forecasts that industry unit costs will continue to decline at a faster pace than average freight rates, so raising profitability. Bunker costs fell 50 percent year-on-year in the final quarter of 2014 and anecdotal evidence suggests that carriers intend to increase annual contract rates on all trades with their key beneficial cargo owner (BCO) clients this year. “Carriers are winning the battle between rates and costs,” said Neil Dekker, Drewry’s director of container research. “However, there are issues such as port congestion which are both costly and outside the direct control of carriers.” Drewry estimates that the industry will finish 2014 in the black, thanks mainly to the contributions of a handful of lines such as Maersk and CMA CGM, while others will have lost money. More carriers are expected to be profitable in 2015, provided that a number of tailwinds prevail. These include: continuing carrier focus on vessel deployment; fuel costs remaining low; recovering demand; successful outcome of annual BCO contract negotiations; and new operational alliances delivering greater market stability. This is a lot to ask for from an industry with a poor track record of profitability. But there are signs that carriers are starting to believe in themselves and are backing up their positive rhetoric with actions. Network planning, slow steaming and the introduction of the mega-alliances will all help the drive towards a more profitable industry. Dekker continued: “Despite several factors that could derail some of the more positive influences, this could be the year that carriers start to turn the corner in terms of operational profitability.” Container carriers have a habit of undoing good work with poor discipline. But the influences that are shaping the industry right now (including recent consolidations) prove that carriers have pushed profitability and value for money up the board room agenda. “With a forecast 1.7 million of TEU due to be delivered to the global fleet this year, 2015 really is make or break for container shipping lines,” said Dekker.",1,Q2=N: forecast/warning (n_forecast=3),ai_rule_based_v3,PORT_CONGESTION
https://www.supplychainbrain.com/articles/20637-what-will-we-do-with-all-that-electronic-waste,supplychainbrain.com,2015-01-09,What Will We Do With All That Electronic Waste?,"Despite the popularity of global recycling programs, we’re a long way from solving the problem of what to do with the waste from discarded business and consumer electronic devices. As much as 85 percent of electronic products were discarded in landfills or incinerators last year. And the release of the iPhone 6 has brought the issue to a “tipping point,” says Linda Li, executive director and corporate vice president of strategy with Li Tong Group. On this episode, she discusses where previous recycling efforts have fallen short, and why we’re still not deriving maximum use from the materials contained in old devices. Li argues for a ""closed-loop"" approach to managing e-waste supply chains – ""the Holy Grail of the recycling business."" Hosted by Bob Bowman, Managing Editor of SupplyChainBrain. Look for a new episode of the podcast, which can be downloaded or streamed, every Friday on the SupplyChainBrain website and iTunes. The U.S. Environmental Protection Agency’s Web page on eCycling. The Consumer Electronics Association’s report on recycling and reuse.",1,"confirmed+wide, short-term, no gov order → label 1",ai_rule_based_v3,GENERAL_DISRUPTION
