source,date,title,url,content,final_label,source_type,bertopic_cluster_id,final_event_type
ajot.com,2024-10-11,"Pemex says two believed dead, five injured from leak at oil refinery in Texas",https://www.ajot.com/news/pemex-says-two-believed-dead-five-injured-from-leak-at-oil-refinery-in-texas,"Two people were believed to have died and five were being treated for injuries on Thursday after a chemical release at Pemex's 312,500-barrels-per-day Deer Park oil refinery in Texas, the Mexican national oil company said. A contractor working at the refinery is believed to have opened a line containing hydrogen sulfide and was killed by exposure to the deadly gas, according to two people familiar with the plant's operations who spoke on condition of anonymity. The leak was reported around 4:40 p.m. CDT (2140 GMT), causing emergency protocols to be activated and the coking and hydrotreatment units were proactively stopped, Pemex said in a statement. Hydrogen sulfide is used by or produced as a byproduct in industrial processes including petroleum production and refining, according the U.S. Occupational Safety and Health Administration (OSHA). Hydrogen sulfide gas can lead to various health issues based on the amount inhaled and the duration of exposure. According to OSHA, inhaling very high concentrations can quickly lead to death. ""The Harris County Fire Marshal's Office and Harris County Pollution Services are on the scene to assist and monitor the air,"" Harris County executive Lina Hidalgo said in a statement posted on X. The city of Deer Park issued a shelter-in-place for all its residents. A state highway on the south side of the refinery was shut by the shelter-in-place order. Earlier in the day, Pemex had reported it was performing activities that might cause flaring.",2.0,gold,-1,GENERAL_DISRUPTION
ajot.com,2024-01-15,Natural gas export projects hang in the balance as Biden mulls climate test,https://www.ajot.com/news/natural-gas-export-projects-hang-in-the-balance-as-biden-mulls-climate-test,"As the Biden administration weighs a tougher climate test for US natural gas export terminals, several projects and tens of billions of dollars in investments are hanging in the balance. Environmentalists are doubling down on efforts to oppose liquefied natural gas terminals seeking government approval, warning they'll significantly prolong the fuel's use globally and worsen global warming. Meanwhile, the Energy Department is reevaluating the climate criteria it uses to approve new LNG export facilities, threatening to stall pending projects as the 2024 election nears. Developers of these multi-billion-dollar ventures need to finalize permits and obtain customer commitments before they can start full-scale construction. Time is of the essence as companies look to lock in investments before an expected wave of new LNG supply reaches the global market in 2030. Here are some of the projects that are closest to reaching a final investment decision this year, cementing America’s position as the world’s largest LNG producer. Venture Global LNG Inc.’s CP2 project, near its existing Calcasieu Pass export plant in Louisiana, is awaiting approval from the Federal Energy Regulatory Commission. Companies that have signed long-term agreements to buy gas from the terminal, including Japan’s Jera Co. and Germany’s SEFE, are urging FERC to authorize the facility. Venture Global previously said it expects to begin commercial operations at CP2 in 2026. Customers of the company’s first project, Calcasieu Pass, are asking FERC to intervene in a contractual dispute with the gas exporter. Commonwealth LNG, a proposed Louisiana terminal under development by a closely held company of the same name, received FERC approval in 2022 but is still waiting for another key permit. It needs authorization from the Energy Department to export to countries that don’t have a free trade agreement with the US — a so-called non-FTA permit — including Japan, China and European nations. The company has said it expects to begin commercial operations in 2027. Energy Transfer LP’s proposed Lake Charles LNG export facility in Louisiana, which would be converted from an existing import terminal, has received FERC approval. But the Energy Department denied the company’s request to extend the project’s non-FTA permit beyond 2025, leaving the project in limbo until its new export application is approved. NextDecade Corp.’s Rio Grande LNG export project in Texas won fresh US approval last year. FERC reissued its authorization after a federal appeals court directed the agency to further analyze the impacts of Rio Grande and another Texas terminal on the climate and low-income communities. The proposal received non-FTA approval from the Energy Department in 2020. NextDecade announced a final investment decision on the first three production units of Rio Grande last year and expects to green-light a fourth LNG unit this year.",1.0,gold,4,ESG_VIOLATION
ajot.com,2023-09-26,South African coal heartland is ill-prepared for energy transition,https://www.ajot.com/news/south-african-coal-heartland-is-ill-prepared-for-energy-transition,"South Africa’s main coal producing province of Mpumalanga, the focus of the country’s $8.5 billion Just Energy Transition Partnership, has received no government funding to help workers and communities find alternative livelihoods, a new study shows. The province, which accounts for 83% of national coal production, will lose 48,500 jobs at power plants and the mines that feed them by 2030 due to closures, Krutham, a South Africa-focused research organization, said in a report released on Tuesday. “Provincial and local governments do not have a specific budget line that is dedicated to the Just Energy Transition initiatives,” Krutham researchers said in the report. “There is a clear indication that municipalities do not have a clear understanding of addressing the energy transition.” South Africa and its north-eastern Mpumalanga province are in focus as the $8.5 billion climate finance pact, known as the JETP, with some of the world’s richest nations - France, Germany, the US, UK and European Union - is a prototype for similar projects that are being pursued in Indonesia, Vietnam and Senegal. Key to those deals are how coal-dependent communities will be shielded from the impact of the transition. “The lack of JET mainstreaming in public financing is one of the key barriers to unlocking financing at scale for JET initiatives,” Krutham said. The government should ring-fence funds for the transition, restore the creditworthiness of municipalities in Mpumalanga and create a fund within the National Treasury from which projects can be funded, Krutham said. More effort should also be made to attract private financing to projects to meet the scale of the challenge, the research group said.",1.0,gold,4,ESG_VIOLATION
ajot.com,2024-08-19,Japan government tightens grip on chip supply-chain network,https://www.ajot.com/news/japan-government-tightens-grip-on-chip-supply-chain-network,"Japan has decided to apply foreign trade regulations to chipmaking equipment as part of its efforts to secure stable supply chains, the Ministry of Finance said Friday. Foreign investors are now required to give prior notice when conducting direct investment in equipment tied to chipmaking, including when acquiring a 1% or bigger stake in a listed company or buying shares in an unlisted company, the ministry said in a statement. The move also aims to address the risk of technology leakage and keep commercial technologies from being used for military purposes, it said. The targeted move will help the government enhance national security while its impact on companies is expected to be limited, according to a finance ministry official. The move comes as Japan tries to revive its own capacity to produce semiconductors as a pillar of its economic security strategy. Japan has already earmarked some ¥4 trillion ($26.9 billion) over the last three years to recharge its semiconductor sectors and promote digitalization. The government is drafting legislation to further boost investment in chipmaking capacity at home. With a new semiconductor strategy, Tokyo has aggressively recruited foreign companies like Taiwan Semiconductor Manufacturing Co. with hefty subsidies to boost chip making at home. Critics say past efforts failed to revive the sector because they didn’t incorporate collaboration with foreign companies.",1.0,gold,5,GEOPOLITICAL
ajot.com,2024-11-26,Aviation sector officials warn of Trump effect on green jet fuels,https://www.ajot.com/news/aviation-sector-officials-warn-of-trump-effect-on-green-jet-fuels,"The expansion of green jet fuels could suffer a significant set-back under president-elect Donald Trump, according to aviation officials, who fear the reversal of tax credits needed to kick-start the sector. The comments by members of airlines trade body IATA and American Airlines at an airlines industry conference in London are among the first assessments of what a Trump presidency could mean for nascent clean jet fuels. The 2022 U.S. Inflation Reduction Act contains hundreds of billions of dollars in subsidies for clean energy and is billed as outgoing President Joe Biden's signature law to combat climate change. Europe's airlines sector, which will have to meet a new mandate for use of sustainable aviation fuels starting in 2026, has repeatedly pointed to the IRA as a useful model to encourage investment into the construction of new SAF production plants. President-elect Donald Trump, a climate skeptic, has vowed to rescind it, something that would require the support of Congress. While existing SAF production facilities are likely to continue producing the fuel, government affairs experts at airlines have said, any rollback of the IRA could put the future of new projects at risk. As it stands, sustainable aviation fuel makes up only around 1% of the world's jet fuel usage, with experts saying the production rate of the green fuel needs to grow quickly for the sector to achieve a goal of net zero carbon emissions by 2050. Trump's incoming administration could have the opposite effect. ""The market needs certainty in terms of building up their reservoir,"" said Ronce Almond, American Airlines' head of intergovernmental affairs, during the airlines industry conference in London on Monday.",1.0,gold,-1,GENERAL_DISRUPTION
ajot.com,2023-08-07,"Shell, Edison say US gas exporter’s sales violate its contracts",https://www.ajot.com/news/shell-edison-say-us-gas-exporteras-sales-violate-its-contracts,"Shell Plc and Edison SpA say a major US natural gas exporter’s decision to sell winter cargoes for short-term delivery shows that the company is failing to honor its contracts. Venture Global LNG Inc.’s Calcasieu Pass liquefied natural gas plant in Louisiana is offering spot cargoes for November 2023 to March 2024, according to a spokesperson for Italian utility Edison. Buyers including Edison and Shell have lodged arbitration cases against Venture Global for delays in supplying contracted shipments from the plant, people familiar with the matter said last month. Calcasieu Pass continues to honor its contractual commitments and its teams are working to commission the facility as quickly as possible, Venture Global spokeswoman Shaylyn Hynes said in an emailed statement. Some of the company’s customers have misrepresented their confidential long-term contracts and those claims are inconsistent with the deals they signed, Hynes said. Based on public reports, Venture Global has already sold more than 170 cargoes on the spot market and continues to do so, despite “making no cargoes available to Shell under our long-term contract,” a Shell spokesperson said in an email. “We believe in the sanctity of contracts and expect others to honor their contractual commitment.” LNG cargoes “should be sold to the foundation customers under the long-term contracts and not to the spot market,” Edison said in a statement. “By these sales VG continues to be in breach of our long term contract and this will be considered within our arbitration proceedings.” The commissioning stage normally takes weeks or months. Other contractual customers for Calcasieu Pass include BP Plc, Galp Energia SGPS SA, Repsol SA and PKN ORLEN.",1.0,gold,4,ESG_VIOLATION
ajot.com,2024-11-01,Local 514 Bargaining Update,https://www.ajot.com/news/local-514-bargaining-update,"posted by AJOT | Nov 01 2024 at 12:11 PM | Ports & Terminals Please be advised that in response to ILWU Local 514’s second industry-wide strike notice set to commence on Monday, November 4 at or about 08:00 am PT, and in anticipation of escalating and unpredictable strike action, the BCMEA has made a decision to take defensive action in the form of a coast-wide lockout. ILWU Local 514’s strike action will have repercussions across B.C.’s waterfront operations, and strike activity can easily escalate, including a complete withdrawal of labour without notice. Accordingly, to facilitate a safe and orderly wind-down of operations, the BCMEA has issued formal notice of its intention to defensively lock out all ILWU Local 514 members on Monday, November 4 at or around 09:00 am PT. Should it be required, this coast-wide lockout will shut down all cargo operations of BCMEA Member companies across the province. It will not affect long-shoring operations on grain vessels or cruise operations. We did not arrive to this decision lightly. This regretful action follows thorough consideration of ILWU Local 514’s continued intransigence and their provocative decision to proceed with another strike notice, despite being found to have been bargaining in bad faith on three occasions. The BCMEA appreciates that Canada’s West Coast ports and global trade require certainty and predictability to operate. ILWU Local 514 continues to put Canada’s supply chain and all those that depend on it at risk with its repeated inflammatory and disruptive behavior. The Parties met this week with the assistance of FMCS. The BCMEA was deeply disappointed that ILWU Local 514 came to mediation at this late stage of bargaining, with proposals and positions that took bargaining backwards, and thus further from achieving a collective agreement. On Wednesday the BCMEA provided a balanced and competitive final offer to ILWU Local 514. If accepted, it will provide all forepersons with significant gains in wages and benefits without concession requests from employers. The final offer includes a 19.2% wage increase, which would enhance the median foreperson compensation from $246,323 to $293,617 annually, not including benefits and pension. On average, eligible workers would receive a cumulative lump sum payment of approximately $21,000, inclusive of signing bonus and retroactive pay increases back to April 2023. Subject to the date of acceptance, the BCMEA will agree to accelerate and pay retroactivity and the signing bonus in full to each member by mid-December. Despite ILWU Local 514’s regrettable decision to repeatedly destabilize Canada’s supply chain, the BCMEA’s comprehensive offer remains open until withdrawn. In the interest of all Canadians, the industry is prepared to rescind lock out notice if ILWU Local 514 chooses to withdraw its strike notice.",1.0,gold,6,PORT_CONGESTION
ajot.com,2024-01-25,Ships hauling US government cargo in Red Sea turn back after explosions nearby,https://www.ajot.com/news/ships-hauling-us-government-cargo-in-red-sea-turn-back-after-explosions-nearby,"Two A.P. Moeller-Maersk A/S container ships that were hauling US government cargoes into the southern Red Sea performed u-turns after a navy escort intercepted nearby attacks. The failed attacks took place while the vessels were being escorted by the US Navy on Wednesday, Maersk said in a statement. The Danish shipping giant immediately suspended transits in the region for all its subsidiary firms, including the one that controls the two US-flagged carriers. The Maersk Detroit and the Maersk Chesapeake were due to transit through the Bab el-Mandeb strait, Maersk said in an emailed statement. The waterway is a narrow maritime choke point linking the Indian Ocean to the Red Sea and the Suez Canal further north. “While en route, both ships reported seeing explosions close by and the US Navy accompaniment also intercepted multiple projectiles,” Maersk said. “The crew, ship, and cargo are safe and unharmed.” The US Navy turned both ships around and is escorting them back to the Gulf of Aden, Maersk said. The two ships are operated by Maersk Line Ltd., a US subsidiary of the Danish firm. US Central Command said in a statement that “Iranian-backed Houthi terrorists fired three anti-ship ballistic missiles from Houthi-controlled areas of Yemen” toward the Maersk Detroit. It said one missile fell in the sea and the other two were shot down by the USS Gravely, a guided-missile destroyer, with no reported injuries or damage. By contrast, the Houthis issued a statement saying that they scored “a direct hit on an American vessel” during a clash lasting more than two hours between “a number of American warships” that were “protecting two American commercial ships.” Earlier in January Maersk said it would avoid the region “for the foreseeable future” because of how dangerous it has become. But vessels operated by its US subsidiary haven’t been covered by that policy until now. The vessels carry cargo belonging to the Defense Department and Transportation Department, and other US government agencies and are therefore “afforded the protection of the US Navy for passage through the strait,” Maersk said. The shipping giant is now suspending transits in the region for all its subsidiaries, including those run by Maersk Line Ltd., until further notice and is “developing network contingencies.” The US has previously said vessels carrying its flag should stay away from the southern Red Sea until further notice, though the decision to sail rests with individual firms.",2.0,gold,2,GEOPOLITICAL
ajot.com,2024-02-01,"Fast trains, toxic chemicals: Why rail safety is still a problem",https://www.ajot.com/news/fast-trains-toxic-chemicals-why-rail-safety-is-still-a-problem,"In the year since the derailment of a Norfolk Southern Inc. train brought national attention to US railroad safety, little has changed. Trains are still rolling through East Palestine, Ohio, at 50 miles per hour — the same speed allowed last February when an accident spilled toxic chemicals in the rural town. Bipartisan safety legislation proposed a month after the crash is bogged down in the Senate. And derailments are happening at roughly the same pace. Mark Wallace, one of the leaders for a union of train engineers, has seen a shift in attitude, especially at Norfolk Southern. But he’s skeptical it will last. The industry has previously tried to pacify the public and regulators with promises that never materialized, he said. Plus, the focus on safety can shift with new management. “All that is a change in CEO away,” said Wallace, the first vice president of the Brotherhood of Locomotive Engineers and Trainmen. Federal legislation is needed to ensure safety improvements, he said. President Biden will likely renew attention on the town and railroad safety when he makes his first visit to East Palestine this month. Derailments are common in the US, recently averaging roughly 1,000 a year (many of those coming in rail yards at low speed). But East Palestine struck a nerve because the train was carrying toxic chemicals. The initial accident, which didn’t cause any deaths or immediate injuries, was exacerbated two days after the crash when Norfolk Southern and government officials decided to vent and burn five tank cars full of dangerous material. The move — intended to keep the tankcars from exploding — sent a plume of burning chemicals over the town. The national media attention set off a wave of scrutiny and criticism, including Nofolk Southern CEO Alan Shaw being grilled by the Senate. Meanwhile, residents worried about the impact on their health, but have been told by government officials that they aren’t in danger. However, some remain living in hotels because they’re worried about contamination, according to Jayne Conroy, a lawyer at Simmons Hanly Conroy, one of the four law firms in charge of a class-action lawsuit against Norfolk Southern. The railroad’s early decisions, such as reopening tracks only days after the accident, hurt its credibility with many residents. “Every choice they made was a business choice, not a safety choice,” Conroy said. “It was all about getting that train line back up and running.” A look inside the industry shows why major improvements may be far off. Cargo transportation is one of the most difficult industries to keep safe. The equipment operates outdoors, making it subject to wear and tear, and interacts with the public and often at high speeds. Most fatal rail accidents happen at points where tracks cross with roads, with protection offered only by flashing lights and gates that cars can drive around – and frequently do, according to Nick Little, managing director of the Railway Management Program at Michigan State University. “We’ve got so many grade crossings in the country,” Little said. “That’s a much bigger problem to solve than the derailments because that causes a lot more damage, injury and death.” There also are a lot of trade-offs that pit safety against cost. If all trains ran at 20 miles per hour, they would be safer, but the infrastructure would be clogged with slow trains and shipping expenses would rise for retailers. The order of cars is also a decision often weighing costs and safety. If a railroad sandwiches a group of empty railcars between two sets of heavy coal cars, those lighter cars are more likely to be squeezed and pop off the tracks when going downhill. Then again, waiting for the optimal set of cars to cobble together can clog rail yards and slowing the network. “It’s something that a lot of people don’t comprehend — just how complicated it can be to get the right cars in the right order on the right train,” Little said. The railroads, for example, have been building longer trains to reduce the need for crews and place locomotives in the middle to reduce pressure on the railcars. The unions say these long trains impact safety and make it more difficult for conductors to walk the train to inspect cars. This balance can also be tipped by legislators and regulators. If the rails are too burdened with expensive mandates that don’t move the needle on safety, it can make operations more dangerous, according to Little. Before the industry was deregulated in 1980, trains sitting still on wobbly tracks would tip over and self-derail. The industry is safer than it was two decades ago because of heavy spending on infrastructure, better steel-making for rails and investment on new ways to inspect tracks and railcars, Little said. Shaw, the Norfolk Southern CEO, has apologized for the crash and said the company is “determined to make it right.” Wallace, the union leader, praised Shaw for keeping commitments made after the accident. That includes the company hiring a firm to do an independent review of its safety culture, which resulted in honest conversations with unionized workers, he said. Norfolk Southern was also the first railroad to join a Federal Railroad Administration pilot program called Confidential Close Call Reporting System in agreement with unions. The goal is to incentivize workers to report safety issues. Other railroads, such as CSX Corp. and BNSF Railway Co., like to keep their close call reporting systems internal and may get pressured to join the system, Little said. The airline industry uses a similar system to report unsafe incidents. But to really improve railway safety, many say the federal government needs to act through legislation that would implement changes such as harsher penalties and phase in safer cars more quickly. That includes Pete Buttigieg, US secretary of Transportation. “We need industry and Congress to step up,” Buttigieg said.",1.0,gold,-1,GENERAL_DISRUPTION
ajot.com,2024-08-12,European energy prices surge as Russia supply-risk buoys gas,https://www.ajot.com/news/european-energy-prices-surge-as-russia-supply-risk-buoys-gas,"European energy prices surged, with natural gas extending last week’s advance following concerns about Russian pipeline supplies across Ukraine. Benchmark futures jumped as much as 6.2% to trade at the highest level since early December. Electricity prices in Germany and France followed gas, with year-ahead futures trading at the highest since June. Europe has weaned itself off most Russian pipeline gas supplies since the start of the war in 2022, but some countries — notably Austria and Slovakia — still rely on it. Sudzha is now the only operating transit station for Russian flows across Ukraine to the European Union. The focus is also on upcoming heavy maintenance at Norwegian facilities from the end of August, as well lower supplies from the Nordic producer amid some ongoing works. Europe competes with Asia for liquefied natural gas cargoes, which may further tighten the market. For the time being, elevated gas prices in the region during the crucial stockpiling season will likely attract more supplies from the US, the top provider. Europe’s LNG imports slumped in July, while Asia received the most monthly US cargoes since 2021, ship-tracking data compiled by Bloomberg show. Softer LNG demand in Asia this month — in part due to easing temperatures — and heightened geopolitical risk in the Middle East — is altering the profitability of LNG shipping routes, “opening up the potential for more US cargoes to divert to Europe,” according to S&P Global Commodity Insights. Still, competition for LNG with Asia remains fierce, as last month illustrated how quickly Europe’s flow of the fuel may dry up. Heat waves, particularly in Asia, have helped to drive demand. China’s gas power capacity is rapidly expanding, though the surge has been limited by high costs and the availability of fuel supplies, according to BloombergNEF. “We’ve seen a heat wave in both Japan and China in the last month, with their fleets responding by increasing output,” and China in particular burning more gas, said Tom Roberts, chief executive officer of London-based Xterna Group, which analyzes energy data. “The elephant in the room is this upcoming winter,” he added. “The focus seems to be on geopolitics in general at the moment, yet these gas intensive countries are consuming record levels of gas.” Dutch front-month gas futures, Europe’s benchmark, traded 3.2% higher at €41.79 a megawatt-hour by 2:30 p.m. in Amsterdam. German year-ahead power prices hit €100 a megawatt-hour for the first time since June 3. The French equivalent also rose to a two-month intraday high.",1.0,gold,20,WEATHER_DISASTER
